No,Category,Principle,Keywords,Why It Matters,Do,Don't,Code Good,Code Bad,Severity,Source
1,Decision,Frequency-based animation gating,"frequency animation, when to animate, repeat action animation","100+ daily actions feel slow when animated. Raycast has zero open/close animation because it's invoked hundreds of times a day","Use the frequency table: 100+/day = no animation, tens/day = drastically reduce, occasional = standard, rare = can delight","Animate every state change because it 'looks polished'","No animation on Cmd+K toggle","Cmd+K with 250ms scale fade",Critical,Emil Kowalski
2,Decision,Never animate keyboard-initiated actions,"keyboard shortcut, keyboard action, command palette, hotkey","Keyboard actions are repeated hundreds of times daily; animation makes the interface feel slow, delayed, and disconnected from the user's intent","Skip animation entirely for keyboard-triggered open/close/submit","Apply enter animations to elements opened by keyboard shortcut","instant: open command palette with display: none → block","fade-in: 250ms on Cmd+K open",Critical,Emil Kowalski
3,Decision,Every animation needs a clear purpose,"why animate, animation purpose, decorative animation","If the only reason is 'looks cool' and the user sees it often, the animation is friction, not polish","Audit each animation against: spatial consistency, state indication, explanation, feedback, or preventing jarring change","Add motion as decoration without a purpose","Toast slides in from same direction it can be swiped away","Random parallax on every section just to fill space",High,Emil Kowalski
4,Easing,Use ease-out for entries and exits,"ease-out, easing curve, enter animation, exit animation","ease-out starts fast and decelerates — the user sees movement immediately at the moment they're watching most closely","Default to ease-out for any element entering or leaving the screen","Use ease-in on UI (it delays the first frame, feels sluggish)","transition: transform 200ms cubic-bezier(0.23, 1, 0.32, 1)","transition: transform 200ms ease-in",Critical,Emil Kowalski
5,Easing,Custom cubic-beziers beat CSS defaults,"custom easing, cubic-bezier, strong easing","Built-in ease/ease-out/ease-in-out are too weak. They lack the punch that makes animations feel intentional","Use the curve set: --ease-out: cubic-bezier(0.23, 1, 0.32, 1); --ease-in-out: cubic-bezier(0.77, 0, 0.175, 1); --ease-drawer: cubic-bezier(0.32, 0.72, 0, 1)","Ship with the default keyword 'ease-out' on a hero animation","--ease-out: cubic-bezier(0.23, 1, 0.32, 1)","easing: ease-out (default keyword)",High,Emil Kowalski + easing.dev
6,Easing,ease-in-out for on-screen movement,"ease-in-out, on-screen motion, morph","Elements moving across the screen (not entering/exiting) need both acceleration and deceleration to feel natural","Use ease-in-out cubic-bezier(0.77, 0, 0.175, 1) for elements morphing or repositioning while visible","Apply ease-out to a layout shift between two visible states","cubic-bezier(0.77, 0, 0.175, 1) on a tab indicator slide","ease-out on a tab indicator that slides between visible tabs",Medium,Emil Kowalski
7,Easing,Linear only for constant motion,"linear easing, marquee, progress bar","Marquees, progress bars, and infinite spinners need constant velocity — easing distorts a continuous loop","Use linear for marquee, progress, infinite spin","Apply ease-out to a CSS marquee","animation: marquee 20s linear infinite","animation: marquee 20s ease-out infinite",Medium,Emil Kowalski
8,Duration,Stay under 300ms for UI animations,"duration, timing, animation length","A 180ms dropdown feels more responsive than a 400ms one. Past 300ms users start to feel they're waiting","Reference the table: button press 100-160ms, tooltip 125-200ms, dropdown 150-250ms, modal/drawer 200-500ms","Default to 300-500ms because it 'feels smoother'","transition-duration: 180ms on a select","transition-duration: 450ms on a select",High,Emil Kowalski
9,Duration,Asymmetric enter and exit,"asymmetric timing, enter exit duration, slow press fast release","Press should be deliberate (slow); release should be system response (fast). The system is fast; the user is deciding","Press: 1-2s linear for hold-to-delete. Release: 200ms ease-out always","Use the same 300ms ease for both press and release","press: 2s linear, release: 200ms ease-out","press and release both 300ms ease",Medium,Emil Kowalski
10,Spring,Use springs for drag and gesture,"spring animation, drag gesture, momentum","Springs simulate real physics; they maintain velocity when interrupted while CSS keyframes restart from zero","Use Motion's useSpring for drag interactions, mouse-tracking decoration, and Apple-style 'alive' elements like Dynamic Island","Use a fixed-duration tween for gesture-driven motion","useSpring(value, { stiffness: 100, damping: 10 })","animate({ x }, { duration: 0.3 }) on drag",High,Emil Kowalski
11,Spring,Apple-style spring config is easier to reason about,"spring config, bounce, apple spring","Duration + bounce maps to human intuition; mass/stiffness/damping requires physics","Prefer { type: spring, duration: 0.5, bounce: 0.2 } over raw mass/stiffness/damping","Mix spring and tween in the same component","{ type: 'spring', duration: 0.5, bounce: 0.2 }","{ type: 'spring', mass: 1, stiffness: 100, damping: 10 } (when defaults work)",Low,Emil Kowalski
12,Spring,Keep bounce subtle in product UI,"bounce, spring overshoot","Heavy bounce reads as toy-like; only acceptable for drag-to-dismiss or playful brand moments","Bounce: 0.1-0.3 in product UI; 0 for dashboards; up to 0.5 for playful brand work","Use bounce 0.5+ on a settings dialog","bounce: 0.2 on a Sonner-style toast","bounce: 0.6 on a settings panel slide-in",Medium,Emil Kowalski
13,Component,Buttons must scale on press,"button press, active state, scale 0.97, button feedback","Without :active feedback the button feels dead. Scale 0.97 confirms the UI heard the user","Add transform: scale(0.97) on :active with transition 160ms ease-out","Ship a button without :active state","button:active { transform: scale(0.97) } and transition: transform 160ms ease-out","button with no :active rule",High,Emil Kowalski
14,Component,Never animate from scale(0),"scale 0 entry, popping in, scale entry","Nothing in the real world appears from nothing. scale(0) reads as artificial","Start from scale(0.9-0.95) combined with opacity: 0","Animate entry from transform: scale(0)","transform: scale(0.95); opacity: 0 → scale(1); opacity: 1","transform: scale(0) → scale(1)",High,Emil Kowalski
15,Component,Popovers scale from their trigger,"popover transform-origin, popover anchor, radix popover","Center-origin popovers feel disconnected from the trigger. Origin-aware popovers feel like they grew from where you clicked","Use transform-origin: var(--radix-popover-content-transform-origin) (Radix) or var(--transform-origin) (Base UI). Modals are exempt — keep transform-origin: center","Apply transform-origin: center to a popover anchored to a button","transform-origin: var(--radix-popover-content-transform-origin)","transform-origin: center on a Radix Popover content",Medium,Emil Kowalski
16,Component,Skip delay on subsequent tooltip hovers,"tooltip delay, instant tooltip, toolbar hover","Initial delay prevents accidental hover triggers. Once one tooltip is open, the user has clearly committed; instant subsequent tooltips make the toolbar feel fast","Use data-instant attribute to set transition-duration: 0ms on tooltips after the first","Apply the same enter delay to every tooltip hover","[data-instant] { transition-duration: 0ms }","every tooltip waits 200ms before showing",Low,Emil Kowalski
17,Component,Use blur to mask imperfect crossfades,"blur transition, crossfade blur, button state blur","Without blur you see two distinct states overlapping. Blur bridges the visual gap by blending them into a single perceived transformation","Add filter: blur(2px) during state transitions; keep under 20px (Safari paints heavy blur slowly)","Crossfade two button-content states with no blur and identical timing","filter: blur(2px); opacity: 0.7 mid-transition","crossfade with no blur, two states visible together",Medium,Emil Kowalski
18,Component,Use @starting-style for entry animations,"@starting-style, css entry animation, no useEffect","Modern CSS replaces the React useEffect mounted=true pattern. Browser-native entry without JavaScript","Wrap entry state in @starting-style { ... } block; fall back to data-mounted attribute for older browsers","Default to JS-mounted state for every component entry","@starting-style { opacity: 0; transform: translateY(100%) }","useEffect(() => setMounted(true), []) for every toast",Medium,Emil Kowalski
19,Transitions,Prefer CSS transitions over keyframes for dynamic UI,"transition vs keyframe, interruptible animation, dynamic ui","Transitions can be interrupted and retargeted mid-animation. Keyframes restart from zero — toasts added rapidly look broken","Use transition for any state that can be triggered rapidly (toasts, list adds, hover toggles). Reserve keyframes for one-shot reveals","Use @keyframes for a toast slide-in","transition: transform 400ms ease on .toast","@keyframes slideIn used on a Sonner-style toast",High,Emil Kowalski
20,Transform,Use translateY/X percentages for size-agnostic motion,"translateY 100%, percentage transform, drawer hidden","Percentage values in translate() are relative to the element's own size. The drawer hides correctly regardless of its height","Use translateY(100%) to hide a drawer by exactly its height","Hardcode pixel offsets that break on different content lengths","transform: translateY(100%) hides drawer regardless of height","transform: translateY(420px) on a variable-height drawer",Medium,Emil Kowalski (Vaul)
21,Performance,Animate only transform and opacity,"transform opacity only, gpu animation, layout thrash","transform and opacity skip layout and paint, running on the GPU. Animating width/height/margin/padding triggers all three rendering steps","Always animate transform (translate, scale, rotate) and opacity for visible motion","Animate width, height, margin, or padding on a fast interaction","transform: translateX(100px); opacity: 0","width: 0 → width: 200px on a sidebar",Critical,Emil Kowalski + Web Performance
22,Performance,Don't animate CSS variables on parents with many children,"css variable performance, swipe amount drawer, recalc","Updating a CSS var on a parent recalculates styles for every child — expensive for drawers with many items","Set transform directly on the dragging element, not via a CSS variable on its container","Use --swipe-amount on a drawer container to drive child positions during drag","element.style.transform = 'translateY(' + d + 'px)'","element.style.setProperty('--swipe', d + 'px') on parent",High,Emil Kowalski (Vaul)
23,Performance,Framer Motion x/y shorthand is NOT hardware-accelerated,"framer motion performance, motion x y, hardware acceleration","Motion's shorthand props use requestAnimationFrame on the main thread. Under load they drop frames. The full transform string runs on the GPU","Use animate={{ transform: 'translateX(100px)' }} for any animation that runs while the page is also loading","Use animate={{ x: 100 }} for animations that play during page load or heavy script work","<motion.div animate={{ transform: 'translateX(100px)' }} />","<motion.div animate={{ x: 100 }} /> during page load",High,Emil Kowalski (Vercel postmortem)
24,Performance,CSS animations beat JS under load,"css vs js animation, main thread, dropped frames","CSS animations run off the main thread. While the browser is busy loading or scripting, JS-driven animations drop frames; CSS stays smooth","Use CSS for predetermined animations. Reserve JS for dynamic, interruptible ones","Drive a logo scale-in with Framer Motion that plays during page load","CSS @keyframes for a hero entrance","Framer Motion shared-layout animation during route change",High,Emil Kowalski
25,Performance,Use WAAPI for programmatic CSS animations,"web animations api, waapi, element.animate","Web Animations API gives JS control with CSS performance — hardware-accelerated, interruptible, no library","Use element.animate([{...}, {...}], { duration, easing, fill }) when you need JS to trigger CSS-grade motion","Reach for Framer Motion to play a single one-off clip-path animation","element.animate([{clipPath: 'inset(0 100% 0 0)'}, {clipPath: 'inset(0 0 0 0)'}], { duration: 1000 })","Framer Motion installed for a single clip-path tween",Medium,Emil Kowalski
26,Gesture,Velocity-based dismissal beats threshold-only,"velocity dismiss, swipe flick, momentum","Quick flicks should dismiss regardless of distance. Pure threshold dismissal feels sticky","Calculate velocity = dragDistance / elapsed; dismiss when velocity > 0.11 OR distance > threshold","Require dragging past a fixed pixel threshold to dismiss","if (distance > threshold || velocity > 0.11) dismiss()","if (distance > 100) dismiss() (no velocity check)",Medium,Emil Kowalski (Vaul)
27,Gesture,Apply damping at boundaries instead of hard stops,"drag boundary, damping, friction edge","Real-world things slow before stopping. Hard stops feel like the UI broke","Allow over-drag with rubber-band damping (each pixel of drag yields less movement past the boundary)","Lock the drag at the boundary with no give","reduce dragDelta by factor 0.4 once past max position","clamp(drag, min, max) with abrupt cutoff at boundaries",Low,Emil Kowalski
28,Gesture,Capture pointer and ignore secondary touches,"pointer capture, multi-touch protection, drag continuation","Without pointer capture the drag stops if the pointer leaves the element. Without multi-touch protection a finger swap mid-drag jumps the element","setPointerCapture on dragstart; ignore subsequent touches while isDragging is true","Listen on document for mouseup without pointer capture; allow new touches mid-drag","element.setPointerCapture(e.pointerId); if (isDragging) return on new press","plain document.addEventListener('mouseup') with no capture",Medium,Emil Kowalski (Vaul)
29,A11y,Respect prefers-reduced-motion (gentler not zero),"prefers-reduced-motion, reduced motion, motion sickness","Reduced motion means fewer and gentler animations — not zero. Keep opacity and color transitions that aid comprehension; remove translate/scale","Wrap motion-based transforms in @media (prefers-reduced-motion: no-preference); ship a reduced fallback that uses opacity only","Disable all transitions when prefers-reduced-motion is set, or ignore the query entirely","@media (prefers-reduced-motion: reduce) { .x { animation: fade 0.2s ease } /* no transform */ }","ignore prefers-reduced-motion or { animation: none } for everything",High,WCAG + Emil Kowalski
30,A11y,Gate hover animations behind hover/pointer media query,"touch hover, hover media query, false hover","Touch devices fire :hover on tap. Hover-driven scale animations cause visual jumps when users tap","Wrap hover styles in @media (hover: hover) and (pointer: fine) { ... }","Apply :hover transform: scale(1.05) without media gating","@media (hover: hover) and (pointer: fine) { .card:hover { transform: scale(1.05) } }",".card:hover { transform: scale(1.05) } (fires on touch)",Medium,Emil Kowalski
31,Polish,Stagger lists 30-80ms between items,"stagger, list animation, cascade","All-at-once entries feel busy. Long staggers feel slow. 30-80ms produces a satisfying cascade without delaying interaction","Use animation-delay nth-child or Motion's staggerChildren in 30-80ms steps; never block interaction during stagger","Stagger 200ms+ between every list item or animate everything at once",".item:nth-child(2) { animation-delay: 50ms }","every list item delayed 250ms or all at delay 0",Medium,Emil Kowalski
32,Polish,Cohesion: motion personality must match component personality,"animation personality, motion mood, brand cohesion","Sonner uses 'ease' and slightly slower timing because it fits its elegant brand. A dashboard would use crisp ease-out and fast timings","Audit motion against the rest of the design: brand voice, copy tone, component personality should all align","Apply the same 200ms ease-out to a playful animated mascot AND a banking dashboard","Sonner's slower 'ease' on a casual toast","250ms ease-out on the same toast in a strict bank app",Medium,Emil Kowalski (Sonner)
33,Polish,Review animations the next day,"animation review, fresh eyes, slow motion testing","Fresh eyes catch imperfections invisible during development. Slow motion playback exposes timing issues at 1x","Sleep on it. The next day, play animations at 0.25x in DevTools. Check colors don't show two states overlapping, easing doesn't stop abruptly","Ship the animation the same day you wrote it","DevTools Animations panel → 25% playback","approve at 1x speed end of day",Low,Emil Kowalski
34,Polish,Test gestures on real devices not simulators,"real device testing, gesture testing, mobile drawer","Touch interactions, drag gestures, and momentum behave differently on real hardware. Simulators miss latency and friction effects","Connect phone via USB, visit local dev server by IP, use Safari/Chrome remote devtools","Approve drawer drag behavior using only the iOS Simulator","real iPhone via Safari Web Inspector","Xcode Simulator only for drag-to-dismiss QA",Medium,Emil Kowalski
35,Sonner,Good defaults beat configuration options,"library defaults, sane defaults, dx","Most users never customize. Default easing, timing, and visual design must be excellent — that determines adoption","Ship beautiful out of the box; expose options as escape hatches not requirements","Force the user to pick a duration and easing on every toast call","toast('Saved') (uses elegant defaults)","toast('Saved', { duration: ?, easing: ?, position: ? }) required",Medium,Emil Kowalski (Sonner)
36,Sonner,Handle edge cases invisibly,"edge case polish, invisible details, tab visibility","Pause toast timers when the tab hides. Fill stack gaps with pseudo-elements to keep hover state. Capture pointer during drag. Users never notice — that's the point","Pause animation timers on visibilitychange; use ::before/::after to bridge gaps in stacked components","Let toast timers run while tab is hidden, expiring before user returns","document.addEventListener('visibilitychange', pauseTimers)","toast.dismiss after 4s real-time even if tab was hidden",Medium,Emil Kowalski (Sonner)
37,Debug,Use the DevTools Animations panel,"devtools animations, frame by frame, animation inspector","Frame-by-frame inspection reveals timing issues between coordinated properties (color + transform + opacity) that you cannot see at 1x","Open Chrome DevTools → Animations panel; reduce playback to 25%; step through frame-by-frame","Eyeball animations at full speed and call it done","DevTools → Animations → 25% playback","visual review at 1x only",Low,Emil Kowalski
